attorney,take,facebook,google,other,referal,website,surgery,sex,days_passed
Patty Hewes,0,1,0,0,0,0,1,female,437
Patty Hewes,0,0,0,0,1,0,1,male,953
Rachel Zane,0,0,0,0,0,0,0,female,291
Perry Mason,1,0,1,0,0,0,0,female,546
Rusty Sabich,0,0,0,0,0,1,1,female,43
Atticus Finch,1,0,0,0,0,0,0,male,141
Atticus Finch,0,0,0,0,0,0,0,male,579
Ally McBeal,0,0,1,0,0,0,0,male,1204
,0,0,1,0,0,0,0,male,624
Perry Mason,0,0,0,0,1,0,1,male,1294
,0,0,0,0,0,1,0,male,527
Daniel Kafee,1,0,1,0,0,0,1,female,588
Rusty Sabich,0,0,0,0,0,1,1,female,690
Rusty Sabich,0,0,0,0,0,0,0,male,1577
Rusty Sabich,0,0,1,0,0,0,0,male,800
Atticus Finch,0,0,0,0,0,1,1,male,2551
Daniel Kafee,0,0,1,0,0,0,0,female,1851
Ally McBeal,0,0,0,0,0,1,0,female,826
Atticus Finch,0,0,0,0,0,0,1,female,576
Patty Hewes,0,0,1,0,0,0,1,female,854
Rachel Zane,0,0,1,0,0,0,0,male,1032
Perry Mason,0,0,1,0,0,0,1,female,61
Rachel Zane,1,0,0,0,1,0,1,female,622
,0,1,0,0,0,0,0,male,773
Daniel Kafee,0,0,1,0,0,0,0,male,331
Perry Mason,0,0,0,0,0,0,1,male,2553
Ally McBeal,0,0,0,0,0,0,1,female,1695
Perry Mason,0,0,0,0,0,0,1,female,1148
Ally McBeal,0,1,0,0,0,0,1,female,574
Rusty Sabich,1,0,0,0,0,1,1,male,622
Rachel Zane,1,0,0,0,0,0,1,female,392
JoAnee Galloway,1,0,0,0,0,1,1,male,699
Atticus Finch,0,0,0,0,0,1,0,male,175
Daniel Kafee,1,0,0,0,1,0,1,male,61
Rachel Zane,1,0,0,0,0,1,0,female,280
JoAnee Galloway,0,1,0,0,0,0,1,female,1328
Atticus Finch,0,0,1,0,0,0,0,male,118
Atticus Finch,0,0,0,0,0,1,0,female,957
Patty Hewes,0,0,0,0,0,1,1,female,1502
Patty Hewes,1,0,0,1,0,0,1,female,564
Atticus Finch,0,0,0,0,0,0,0,male,865
Rachel Zane,0,0,0,0,0,0,1,female,131
Rachel Zane,0,0,0,1,0,0,1,male,1266
Rachel Zane,0,0,0,0,0,1,0,female,1541
Ally McBeal,0,0,0,0,0,1,0,male,1447
Patty Hewes,0,0,0,0,0,0,0,female,1014
Rachel Zane,1,0,0,0,1,0,1,male,258
Atticus Finch,0,0,0,0,0,1,0,male,1588
Patty Hewes,0,0,0,0,0,1,1,female,1712
Atticus Finch,0,1,0,0,0,0,0,female,395
JoAnee Galloway,1,0,0,1,0,0,1,male,147
Atticus Finch,1,0,0,0,0,0,1,female,132
Patty Hewes,0,0,0,0,0,1,0,male,1919
JoAnee Galloway,0,1,0,0,0,0,0,male,147
Rachel Zane,0,0,0,0,0,0,0,female,828
Rachel Zane,1,0,0,1,0,0,0,female,523
Rusty Sabich,0,0,0,1,0,0,1,male,1221
Daniel Kafee,1,0,1,0,0,0,1,male,408
JoAnee Galloway,0,0,0,0,0,0,1,male,157
Daniel Kafee,1,0,0,0,0,0,1,female,21
Rusty Sabich,1,0,0,0,0,0,0,male,179
Rusty Sabich,1,0,0,0,0,1,0,male,223
Patty Hewes,0,0,0,0,0,0,0,female,2782
Rachel Zane,0,0,0,0,1,0,0,female,2136
Rachel Zane,0,0,0,0,1,0,0,male,1353
Patty Hewes,1,0,0,1,0,0,0,female,396
Atticus Finch,0,0,0,1,0,0,0,male,679
Perry Mason,1,0,0,0,1,0,1,male,569
Daniel Kafee,1,1,0,0,0,0,0,female,360
Atticus Finch,0,0,0,0,0,0,1,female,2118
Atticus Finch,0,0,0,0,0,0,1,male,493
Perry Mason,0,0,0,0,0,1,1,female,1053
Patty Hewes,1,0,0,0,1,0,1,,580
